"ObjectApiName","ObjectLabel","ObjectKind","FieldApiName","FieldLabel","FieldType","IsFormula","ReferenceTo","PicklistValues","Required","Unique","Length","HelpText"
"Account","Account","Standard Object","Account_Manager__c","Account Manager","Lookup","False","User","","False","False","","Select the Account Manager who owns this client relationship. This person will be defaulted on all Job Requirements created for this client."
"Account","Account","Standard Object","AccountNumber",,,"False","","","False","False","",""
"Account","Account","Standard Object","AccountSource",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","Acknowledgement_Declaration__c","Acknowledgement Declaration","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Acquaintances_Using_Our_Services__c","Acquaintances Using Our Services","Text","False","","","False","False","100",""
"Account","Account","Standard Object","Active_CPT__c","Active CPT?","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Active_for_B2B_Submission__c","Active for B2B Submission","Checkbox","False","","","False","False","","Check when candidate is actively looking and available for B2B job submissions. Uncheck when candidate is placed or unavailable."
"Account","Account","Standard Object","Additional_Comments_or_Questions__c","Additional Comments or Questions","LongTextArea","False","","","False","False","32768",""
"Account","Account","Standard Object","Additional_Information__c","Additional Information","LongTextArea","False","","","False","False","32768",""
"Account","Account","Standard Object","Address_Line_1__c","Address Line 1","Text","False","","","False","False","100",""
"Account","Account","Standard Object","Address_Line_2__c","Address Line 2","Text","False","","","False","False","100",""
"Account","Account","Standard Object","AnnualRevenue",,,"False","","","False","False","",""
"Account","Account","Standard Object","Application_Start_Date__c","Application Start Date","Date","False","","","False","False","",""
"Account","Account","Standard Object","Assigned_Marketing_Team_Lead__c","Assigned Marketing Team Lead","Lookup","False","Recruiter__c","","False","False","",""
"Account","Account","Standard Object","Assigned_Recruiter__c","Assigned Recruiter","Lookup","False","Recruiter__c","","False","False","",""
"Account","Account","Standard Object","Authorized_To_Work_In_US__c","Authorized To Work In US?","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","BillingAddress",,,"False","","","False","False","",""
"Account","Account","Standard Object","Candidate_Owner_Name__c","Candidate Owner Name","Text","True","","","False","False","",""
"Account","Account","Standard Object","Candidate_Referral__c","Candidate Referral","Lookup","False","Account","","False","False","",""
"Account","Account","Standard Object","Candidate_Status__c","Candidate Status","Picklist","False","","In Progress;Active;Hold;Paused;Placed;Terminate;Closed","False","False","",""
"Account","Account","Standard Object","Candidate_Status_Change_Reason__c","Candidate Status Change Reason","LongTextArea","False","","","False","False","32768",""
"Account","Account","Standard Object","Client_Status__c","Client Status","Picklist","False","","Prospect;Active;On Hold;Inactive","False","False","","Set to Active when client is sending requirements. On Hold when temporarily paused. Inactive when no longer working. Prospect for new unqualified clients."
"Account","Account","Standard Object","Client_Type__c","Client Type","Picklist","False","","Direct Client;Vendor;Implementation Partner;MSP;Other","False","False","","Direct Client = Company hiring directly Vendor = Staffing vendor Implementation Partner = Tech implementation company MSP = Managed Service Provider."
"Account","Account","Standard Object","College_Name__c","College Name","Text","False","","","False","False","255",""
"Account","Account","Standard Object","College_Name_2__c","College Name 2","Text","False","","","False","False","255",""
"Account","Account","Standard Object","College_Name_3__c","College Name 3","Text","False","","","False","False","255",""
"Account","Account","Standard Object","College_Name_4__c","College Name 4","Text","False","","","False","False","255",""
"Account","Account","Standard Object","College_Name_5__c","College Name 5","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Communication_Skills_Rating__c","Communication Skills Rating","Number","False","","","False","False","",""
"Account","Account","Standard Object","Complete_Address__c","Complete Address","Text","True","","","False","False","",""
"Account","Account","Standard Object","Confidential_Client__c","Confidential Client","Checkbox","False","","","False","False","","Check if the client has requested confidentiality. When checked, client name will NOT appear on website job postings regardless of other settings."
"Account","Account","Standard Object","Contact_Number_Calling__c","Contact Number Calling","Phone","False","","","False","False","",""
"Account","Account","Standard Object","Contact_Number_WhatsApp__c","Contact Number WhatsApp","Phone","False","","","False","False","",""
"Account","Account","Standard Object","Criminal_Record_Declaration__c","Criminal Record Declaration","Picklist","False","","I do NOT have any criminal record;I have a criminal record","False","False","",""
"Account","Account","Standard Object","Current_Address__c","Current Address","Address","False","","","False","False","",""
"Account","Account","Standard Object","Current_Job_Position__c","Current Job Position","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Current_Rate_Expectation__c","Current Rate Expectation","Currency","False","","","False","False","","Enter the candidate current rate expectation. For contractors enter hourly rate. For full-time enter annual salary. Update whenever expectations change."
"Account","Account","Standard Object","Current_Visa_Status__c","Current Visa Status","Picklist","False","","CPT;OPT;STEM OPT Extension;H1B;B2;Green Card EAD;Green Card / Permanent Resident;US Citizen","False","False","",""
"Account","Account","Standard Object","Currently_Employed__c","Currently Employed","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Date_of_Arrival__c","Date of Arrival","Date","False","","","False","False","",""
"Account","Account","Standard Object","Date_of_Birth__c","Date of Birth","Date","False","","","False","False","",""
"Account","Account","Standard Object","Day_to_day_availability_for_interviews__c","Day to day availability for interviews","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Days_since_application_started__c","Days since application started","Number","True","","","False","False","",""
"Account","Account","Standard Object","Default_Submission_Email__c","Default Submission Email","Email","False","","","False","False","","Enter the primary email for sending candidate submissions to this client. Typically the hiring manager or vendor coordinator email."
"Account","Account","Standard Object","Default_Vendor__c","Default Vendor","Lookup","False","Vendor__c","","False","False","",""
"Account","Account","Standard Object","Degree__c","Degree","Picklist","False","","Undergraduates;Graduates;Bachelors;Masters","False","False","",""
"Account","Account","Standard Object","Degree_End_Date__c","Degree End Date","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_End_Date_2__c","Degree End Date 2","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_End_Date_3__c","Degree End Date 3","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_End_Date_4__c","Degree End Date 4","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_End_Date_5__c","Degree End Date 5","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_Start_Date__c","Degree Start Date","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_Start_Date_2__c","Degree Start Date 2","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_Start_Date_3__c","Degree Start Date 3","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_Start_Date_4__c","Degree Start Date 4","Date","False","","","False","False","",""
"Account","Account","Standard Object","Degree_Start_Date_5__c","Degree Start Date 5","Date","False","","","False","False","",""
"Account","Account","Standard Object","Description",,,"False","","","False","False","",""
"Account","Account","Standard Object","Description__c","Description","LongTextArea","False","","","False","False","32768",""
"Account","Account","Standard Object","Disability_Status__c","Disability Status","Picklist","False","","Yes, I have a disability or previously had a disability;No, I do not have a disability;Prefer not to say","False","False","",""
"Account","Account","Standard Object","DS_Account_Type__c","DS Account Type","Picklist","False","","Checking;Savings","False","False","",""
"Account","Account","Standard Object","DS_ACH_Identification_Number__c","DS ACH Identification Number","Text","False","","","False","False","50",""
"Account","Account","Standard Object","DS_ACH_Identification_Type__c","DS ACH Identification Type","Picklist","False","","Passport;Driver's License;State Id","False","False","",""
"Account","Account","Standard Object","DS_ACH_Issuing_Authority__c","DS ACH Issuing Authority","Text","False","","","False","False","200",""
"Account","Account","Standard Object","DS_Address_Line_1__c","DS Address Line 1","Text","False","","","False","False","255",""
"Account","Account","Standard Object","DS_Address_Line_2__c","DS Address Line 2","Text","False","","","False","False","50",""
"Account","Account","Standard Object","DS_Bank_Name__c","DS Bank Name","Text","False","","","False","False","200",""
"Account","Account","Standard Object","DS_City__c","DS City","Text","False","","","False","False","255",""
"Account","Account","Standard Object","DS_Date_Of_Birth__c","DS Date Of Birth","Date","False","","","False","False","",""
"Account","Account","Standard Object","DS_First_Name__c","DS First Name","Text","False","","","False","False","200",""
"Account","Account","Standard Object","DS_Last_Name__c","DS Last Name","Text","False","","","False","False","50",""
"Account","Account","Standard Object","DS_Middle_Name__c","DS Middle Name","Text","False","","","False","False","50",""
"Account","Account","Standard Object","DS_Person_Email__c","DS Person Email","Email","False","","","False","False","",""
"Account","Account","Standard Object","DS_Person_Phone__c","DS Person Phone","Phone","False","","","False","False","",""
"Account","Account","Standard Object","DS_Service_Identification_Number__c","DS Service Identification Number","Text","False","","","False","False","200",""
"Account","Account","Standard Object","DS_Service_Identification_Type__c","DS Service Identification Type","Picklist","False","","Passport;Driver's License;State Id","False","False","",""
"Account","Account","Standard Object","DS_Service_Issuing_Authority__c","DS Service Issuing Authority","Text","False","","","False","False","200",""
"Account","Account","Standard Object","DS_State_Province__c","DS State/Province","Picklist","False","","","False","False","",""
"Account","Account","Standard Object","DS_Today_Date__c","DS Today Date","Text","True","","","False","False","",""
"Account","Account","Standard Object","DS_ZIP_Postal_Code__c","DS ZIP/Postal Code","Text","False","","","False","False","50",""
"Account","Account","Standard Object","Email_replica__c","Email_replica","Text","True","","","False","False","",""
"Account","Account","Standard Object","Employee_Referral__c","Employee Referral","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Expected_Interviews_Target__c","Expected Interviews (Target)","Number","True","","","False","False","",""
"Account","Account","Standard Object","Expected_No_of_Interviews__c","Expected No of Interviews","Number","True","","","False","False","",""
"Account","Account","Standard Object","Fax",,,"False","","","False","False","",""
"Account","Account","Standard Object","Home_Address__c","Home Address","Address","False","","","False","False","",""
"Account","Account","Standard Object","Industry",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","Internal_Interview__c","Internal Interview","Lookup","False","Internal_Interview__c","","False","False","",""
"Account","Account","Standard Object","Interview_Support__c","Interview Support","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Interviews_Ghosted__c","Interviews Ghosted","Summary","False","","","False","False","",""
"Account","Account","Standard Object","Interviews_Rejected__c","Interviews Rejected","Summary","False","","","False","False","",""
"Account","Account","Standard Object","IsCustomerPortal",,,"False","","","False","False","",""
"Account","Account","Standard Object","January_Kicker_Rate__c","January Kicker Rate","Percent","False","","","False","False","",""
"Account","Account","Standard Object","Jigsaw",,,"False","","","False","False","",""
