Month,Region,Product,Units,Revenue,Cost
2025-01,North,Starter,50,2450.0,1128.41
2025-01,North,Pro,49,6321.0,3969.33
2025-01,North,Enterprise,4,1996.0,1349.52
2025-01,South,Starter,32,1568.0,746.32
2025-01,South,Pro,28,3612.0,2476.51
2025-01,South,Enterprise,8,3992.0,2568.24
2025-01,East,Starter,46,2254.0,1166.23
2025-01,East,Pro,37,4773.0,3217.42
2025-01,East,Enterprise,1,499.0,344.37
2025-01,West,Starter,63,3087.0,1927.08
2025-01,West,Pro,58,7482.0,4929.04
2025-01,West,Enterprise,18,8982.0,5673.81
2025-02,North,Starter,59,2891.0,1977.16
2025-02,North,Pro,51,6579.0,3355.85
2025-02,North,Enterprise,4,1996.0,924.87
2025-02,South,Starter,38,1862.0,1088.18
2025-02,South,Pro,35,4515.0,3030.68
2025-02,South,Enterprise,4,1996.0,1388.99
2025-02,East,Starter,37,1813.0,1152.4
2025-02,East,Pro,45,5805.0,3949.82
2025-02,East,Enterprise,9,4491.0,3058.92
2025-02,West,Starter,47,2303.0,1334.39
2025-02,West,Pro,69,8901.0,5225.56
2025-02,West,Enterprise,15,7485.0,5217.39
2025-03,North,Starter,56,2744.0,1677.94
2025-03,North,Pro,54,6966.0,3971.96
2025-03,North,Enterprise,5,2495.0,1418.78
2025-03,South,Starter,35,1715.0,811.04
2025-03,South,Pro,32,4128.0,1941.02
2025-03,South,Enterprise,1,499.0,274.69
2025-03,East,Starter,39,1911.0,1130.01
2025-03,East,Pro,37,4773.0,2962.06
2025-03,East,Enterprise,1,499.0,249.6
2025-03,West,Starter,74,3626.0,2158.01
2025-03,West,Pro,66,8514.0,4427.63
2025-03,West,Enterprise,2,998.0,673.96
2025-04,North,Starter,44,2156.0,1030.36
2025-04,North,Pro,46,5934.0,3662.28
2025-04,North,Enterprise,5,2495.0,1641.66
2025-04,South,Starter,27,1323.0,645.47
2025-04,South,Pro,37,4773.0,2913.09
2025-04,South,Enterprise,8,3992.0,2781.04
2025-04,East,Starter,39,1911.0,921.58
2025-04,East,Pro,48,6192.0,3396.86
2025-04,East,Enterprise,1,499.0,340.74
2025-04,West,Starter,54,2646.0,1805.5
2025-04,West,Pro,59,7611.0,4125.3
2025-04,West,Enterprise,6,2994.0,2005.91
2025-05,North,Starter,49,2401.0,1552.54
2025-05,North,Pro,49,6321.0,3367.74
2025-05,North,Enterprise,1,499.0,306.05
2025-05,South,Starter,39,1911.0,949.93
2025-05,South,Pro,31,3999.0,1952.78
2025-05,South,Enterprise,11,5489.0,2946.66
2025-05,East,Starter,43,2107.0,1315.84
2025-05,East,Pro,39,5031.0,3424.63
2025-05,East,Enterprise,9,4491.0,3052.36
2025-05,West,Starter,65,3185.0,2226.43
2025-05,West,Pro,70,9030.0,5148.34
2025-05,West,Enterprise,7,3493.0,2266.32
2025-06,North,Starter,53,2597.0,1612.79
2025-06,North,Pro,36,4644.0,2178.68
