id,severity,category,title,file,line,effort,impact
SEC-01,P0,Security,Bind published ports to loopback - no authentication exists and six ports are published on 0.0.0.0,orchestrator/app/auth.py,95-97,S,"Unauthenticated read of all conversations and copied production Salesforce data, plus free GPU use, from any host on the network"
SEC-07,P1,Security,Fix sql_guard escape-string desynchronisation that defeats the multi-statement check,orchestrator/app/core/sql_guard.py,87-103,M,"Guard's core promise (exactly one SELECT) is false; confirmed bypass, not currently exploitable only because DuckDB is opened read_only with external access disabled"
DATA-04,P1,Data,Stop storing every Salesforce value as VARCHAR - rankings and aggregates are silently wrong,sync-worker/syncworker/storage.py,38-56,M,"ORDER BY Amount returns the wrong rows and MAX returns the wrong record; SUM fails outright. Wrong analytics answers presented confidently"
PERF-01,P1,Performance,Off-load the blocking DuckDB query off the event loop,orchestrator/app/engines/sql.py,201,S,"One slow query freezes every concurrent user's SSE stream and stalls /health"
SEC-02,P1,Security,Fail closed on the conversation-ownership check,orchestrator/app/main.py,338-344,S,"A transient DB error silently disables the IDOR guard; the code comment claims the opposite behaviour"
SEC-03,P1,Security,Close the SSRF resolve-then-connect window (sequential DNS rebinding),orchestrator/app/core/net.py,99,M,"A pasted link can be redirected to 127.0.0.1:8080 or any internal service after passing the guard"
REL-01,P1,Reliability,Bound the /chat request body,orchestrator/app/main.py,176-199,S,"Unauthenticated remote OOM; no size limit on messages, image or pdf fields"
TEST-01,P1,Testing,Add CI - 1141 passing tests are only ever run by hand,.github,0,S,"No automated gate; regressions reach main unnoticed despite a suite that runs in under a minute"
SEC-04,P2,Security,Delete the plaintext credential backup .env.bak-205921,.env.bak-205921,1-16,S,"Salesforce and Hugging Face credentials in cleartext on disk; untracked by git but exposed to host and backup access"
SEC-05,P2,Security,Fence untrusted web/URL/repo/document text before it enters the model prompt,orchestrator/app/engines/search.py,374-399,M,"Prompt injection via attacker-controlled page content with no instruction-stripping or provenance tainting"
SEC-06,P2,Security,Remove dead AWS Secrets Manager config from .env.example,.env.example,7-14,S,"Solicits real AWS credentials for a feature deleted on 2026-07-28; zero references anywhere in code or compose"
SEC-08,P2,Security,Add an object/field allowlist to guard_soql,orchestrator/app/core/salesforce.py,55-80,M,"Model-authored SOQL can read any object the integration user can see; bounded by that user being read-only"
PERF-02,P2,Performance,Stream and cap fetch bodies instead of buffering the whole response,orchestrator/app/core/net.py,153,S,"max_bytes is applied after the full body is already in memory"
PERF-03,P2,Performance,Run the schema script and migrate() once at startup rather than on all 32 connect() call sites,orchestrator/app/db.py,195-205,M,"Every DB operation re-executes 13 CREATE TABLE statements and 2 PRAGMA queries"
PERF-04,P2,Performance,Reuse one AsyncOpenAI client per base URL instead of constructing and leaking one per call,orchestrator/app/llm.py,72-79,S,"Connection churn and unclosed httpx clients on every LLM call"
PERF-05,P2,Performance,Add a text-only PDF path - extraction rasterises up to 10 pages and discards the images,orchestrator/app/core/extract.py,55-61,S,"Wasted CPU and memory on every PDF URL fetched"
DATA-01,P2,Data,Apply the references_a_known_table hallucination guard on the SQL retry path too,orchestrator/app/engines/sql.py,203-207,S,"The retry can execute invented SQL that the first attempt would have been refused for"
DATA-02,P2,Data,Create a unique index on Id for every warehouse object table,sync-worker/syncworker/storage.py,140,S,"Each sync batch full-scans the table on DELETE ... WHERE Id IN (...)"
DATA-03,P2,Data,Add foreign keys or explicit cleanup for uploads url_documents repos and repo_chunks,orchestrator/app/db.py,334-340,M,"Deleting a conversation orphans its uploads, fetched pages and indexed source code permanently"
REL-02,P2,Reliability,Add a restart policy and healthcheck to sync-worker,docker-compose.yml,291-331,S,"If the worker exits the warehouse silently stops refreshing and /health still reports ok"
REL-03,P2,Reliability,Log every swallowed exception - 42 broad except Exception handlers degrade silently,orchestrator/app/main.py,161,M,"Failures are invisible; a lost assistant answer is discarded with no record"
OBS-01,P2,Observability,Propagate a correlation id from browser through orchestrator engine and model,orchestrator/app/main.py,41,M,"No way to trace one request across the stack when debugging a slow or wrong answer"
DX-01,P2,DX,Pin orchestrator dependencies and commit a lockfile,orchestrator/requirements.txt,1-28,M,"Builds are not reproducible; all deps float on unbounded >= with no lock, unlike sync-worker and frontend"
TEST-02,P2,Testing,Add end-to-end coverage for the 8 critical paths,orchestrator/tests,0,L,"All 1141 tests are unit-level; no test exercises a full request through the real SSE contract"
COST-01,P2,Cost,Remove the published vLLM host ports to stop unmetered GPU consumption,docker-compose.yml,86,S,"Anyone on the network can submit 262k-token prompts against the shared KV pool"
DX-02,P3,DX,Document MOCK_MODE or gate it to development builds,frontend/app/api/chat/route.ts,134,S,"An undocumented env var silently serves fabricated fixture answers with no visual indication"
QUAL-01,P3,Quality,Introduce a real engine Protocol - the Emit alias is re-declared in three files,orchestrator/app/engines/chat.py,22,M,"No runtime or type guarantee that an engine honours the contract"
QUAL-02,P3,Quality,Remove the dead is_safe_select helper,orchestrator/app/core/sql_guard.py,160-166,S,"Defined and tested but never called by application code"
QUAL-03,P3,Quality,Split the two god-files db.py (1064 LOC) and ChatApp.tsx (916 LOC),orchestrator/app/db.py,1-1064,L,"Both concentrate many responsibilities and are the hardest files to change safely"
SEC-09,P3,Security,Correct the archive.py docstring - the zip-slip check is not re-run at write time,orchestrator/app/core/archive.py,118-119,S,"Docstring overstates the guarantee; practical risk is low because symlinks are never extracted"
DOC-01,P3,Quality,Fix NO_DATA_MESSAGE which tells users to add AWS credentials for a removed feature,orchestrator/app/engines/__init__.py,24,S,"User-facing instruction references infrastructure that no longer exists"
SEC-10,P2,Security,Sanitise the terminal SSE error event - raw exception text is sent to the browser,orchestrator/app/main.py,672,S,"str(exc) is published verbatim as the error message, leaking internal file paths, generated SQL, DuckDB errors and Salesforce API detail to the client"
REL-04,P2,Reliability,Add per-call timeouts to the router fallback chain,orchestrator/app/engines/router.py,113-133,M,"Both router calls inherit LLM_REQUEST_TIMEOUT=300s and both swallow exceptions, so a wedged classifier can burn up to 600s (plus decide()'s own 300s) with no user feedback before defaulting to rag"
SEC-11,P2,Security,Add a non-root USER to the orchestrator image,orchestrator/Dockerfile,1-52,S,"The orchestrator is the only app container with no USER directive - it runs as root while holding /data read-write (Salesforce JWT key) and executing LLM-generated SQL; sync-worker uses USER worker and frontend USER nextjs"
DX-03,P2,DX,Add python-multipart to requirements-dev.txt,orchestrator/requirements-dev.txt,1-20,S,"main.py:23 imports .uploads whose File()/Form() decorators raise RuntimeError at import time without it; on a clean host the whole orchestrator suite fails at collection. Latent only because this machine happens to have it installed"
DX-04,P2,DX,Remove or wire up the .env.example variables that reach no container,docker-compose.yml,1-355,M,"There is no env_file: anywhere in compose (0 matches), so only explicitly interpolated ${VAR} values reach a container. 18 of 43 documented variables - including every context-management threshold and CHART_TRIGGER_MODE - are silent no-ops when set"
TEST-03,P3,Testing,Replace four tests that cannot fail,orchestrator/tests/test_search_off.py,29,S,"test_search_off.py:29 ends assert True; test_search_engine.py:115 asserts a bool is in (True, False); test_chart_pipeline.py:199 asserts x is None or True; test_conversation_integrity.py:553-566 monkeypatches the checker to itself - all pass unconditionally"
DOC-02,P3,Quality,Fix the SEARCH_MAX_RESULTS value documented in README,README.md,142,S,"README documents 10; .env.example:55 and config.py:197 both say 100"
